col,img,decomposition.1,decomposition.2,cluster,acc,time
NIR_255,170101,TruncatedSVD,FastICA,SpectralClustering,0.5853658536585367,227.6821136474609
NIR_255,170101,TruncatedSVD,FastICA,Birch,0.5121951219512195,199.9144554138184
NIR_255,170101,TruncatedSVD,FastICA,AgglomerativeClustering,0.5121951219512195,192.89183616638184
NIR_255,170101,TruncatedSVD,IncrementalPCA,MiniBatchKMeans,0.5609756097560976,66.00618362426758
NIR_255,170101,TruncatedSVD,IncrementalPCA,KMeans,0.5121951219512195,113.8603687286377
NIR_255,170101,TruncatedSVD,IncrementalPCA,SpectralClustering,0.5121951219512195,79.97989654541016
NIR_255,170101,TruncatedSVD,IncrementalPCA,Birch,0.5121951219512195,67.29841232299805
NIR_255,170101,TruncatedSVD,IncrementalPCA,AgglomerativeClustering,0.5121951219512195,52.54006385803223
NIR_255,170101,TruncatedSVD,PCA,MiniBatchKMeans,0.5365853658536586,393.01371574401855
NIR_255,170101,TruncatedSVD,PCA,KMeans,0.5121951219512195,69.08655166625977
NIR_255,170101,TruncatedSVD,PCA,SpectralClustering,0.5121951219512195,62.02864646911621
NIR_255,170101,TruncatedSVD,PCA,Birch,0.5121951219512195,48.000335693359375
NIR_255,170101,TruncatedSVD,PCA,AgglomerativeClustering,0.5121951219512195,34.39640998840332
NIR_255,170101,TruncatedSVD,TruncatedSVD,MiniBatchKMeans,0.5121951219512195,383.5160732269287
NIR_255,170101,TruncatedSVD,TruncatedSVD,KMeans,0.5121951219512195,205.19089698791504
NIR_255,170101,TruncatedSVD,TruncatedSVD,SpectralClustering,0.5365853658536586,195.95623016357425
NIR_255,170101,TruncatedSVD,TruncatedSVD,Birch,0.5121951219512195,174.4248867034912
NIR_255,170101,TruncatedSVD,TruncatedSVD,AgglomerativeClustering,0.5121951219512195,164.03651237487793
NIR_255,170103,KernelPCA_sigmoid,KernelPCA_sigmoid,MiniBatchKMeans,1.0,126.40762329101562
NIR_255,170103,KernelPCA_sigmoid,KernelPCA_sigmoid,KMeans,1.0,48.48122596740723
NIR_255,170103,KernelPCA_sigmoid,KernelPCA_sigmoid,SpectralClustering,1.0,99.27606582641602
NIR_255,170103,KernelPCA_sigmoid,KernelPCA_sigmoid,Birch,0.6428571428571429,20.826101303100582
NIR_255,170103,KernelPCA_sigmoid,KernelPCA_sigmoid,AgglomerativeClustering,1.0,14.124393463134766
NIR_255,170103,KernelPCA_sigmoid,KernelPCA_cosine,MiniBatchKMeans,1.0,120.43309211730956
NIR_255,170103,KernelPCA_sigmoid,KernelPCA_cosine,KMeans,1.0,50.99129676818848
NIR_255,170103,KernelPCA_sigmoid,KernelPCA_cosine,SpectralClustering,1.0,111.50646209716795
NIR_255,170103,KernelPCA_sigmoid,KernelPCA_cosine,Birch,0.6428571428571429,29.78372573852539
NIR_255,170103,KernelPCA_sigmoid,KernelPCA_cosine,AgglomerativeClustering,1.0,10.670661926269531
NIR_255,170103,KernelPCA_sigmoid,FactorAnalysis,MiniBatchKMeans,1.0,181.8985939025879
NIR_255,170103,KernelPCA_sigmoid,FactorAnalysis,KMeans,1.0,110.6410026550293
NIR_255,170103,KernelPCA_sigmoid,FactorAnalysis,SpectralClustering,1.0,71.34294509887695
NIR_255,170103,KernelPCA_sigmoid,FactorAnalysis,Birch,0.6428571428571429,31.92448616027832
NIR_255,170103,KernelPCA_sigmoid,FactorAnalysis,AgglomerativeClustering,1.0,27.55093574523925
NIR_255,170103,KernelPCA_sigmoid,FastICA,MiniBatchKMeans,1.0,212.66651153564453
NIR_255,170103,KernelPCA_sigmoid,FastICA,KMeans,1.0,321.6781616210937
NIR_255,170103,KernelPCA_sigmoid,FastICA,SpectralClustering,1.0,291.0788059234619
NIR_255,170103,KernelPCA_sigmoid,FastICA,Birch,0.6428571428571429,222.30291366577148
NIR_255,170103,KernelPCA_sigmoid,FastICA,AgglomerativeClustering,1.0,204.33926582336423
NIR_255,170103,KernelPCA_sigmoid,IncrementalPCA,MiniBatchKMeans,1.0,113.74926567077635
NIR_255,170103,KernelPCA_sigmoid,IncrementalPCA,KMeans,1.0,42.40965843200684
NIR_255,170103,KernelPCA_sigmoid,IncrementalPCA,SpectralClustering,1.0,84.00559425354004
NIR_255,170103,KernelPCA_sigmoid,IncrementalPCA,Birch,0.6428571428571429,21.491527557373047
NIR_255,170103,KernelPCA_sigmoid,IncrementalPCA,AgglomerativeClustering,1.0,11.091947555541992
NIR_255,170103,KernelPCA_sigmoid,PCA,MiniBatchKMeans,1.0,194.7731971740723
NIR_255,170103,KernelPCA_sigmoid,PCA,KMeans,1.0,15.371322631835938
