col,component_fun,setting,model,video,acc,time
NIR_diff,FastICA,default,SpectralClustering,16093001,0.7419354838709677,19.01040863990784
NIR_diff,FastICA,default,SpectralClustering,16093201,0.5609756097560976,12.882970809936523
NIR_diff,FastICA,default,SpectralClustering,16093301,0.5675675675675675,14.7611083984375
NIR_diff,FastICA,default,SpectralClustering,16093501,0.8727272727272728,16.367936849594116
NIR_diff,FastICA,default,SpectralClustering,16093601,0.56,14.125640630722046
NIR_diff,FastICA,default,SpectralClustering,16093801,0.5915492957746479,21.97425627708435
NIR_diff,FastICA,default,SpectralClustering,170101,0.7317073170731707,18.752588272094727
NIR_diff,FastICA,default,SpectralClustering,170103,0.75,16.03556990623474
NIR_diff,FastICA,default,SpectralClustering,170104,0.5079365079365079,16.552870512008667
NIR_diff,FastICA,default,SpectralClustering,170108,0.5238095238095238,95.08712792396544
NIR_diff,FastICA,default,SpectralClustering,170110,0.8412698412698413,42.35253310203552
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16090101,0.9411764705882352,0.4021506309509277
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16090401,1.0,0.600853443145752
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16090601,1.0,0.4515917301177978
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16091201,0.9444444444444444,0.4162695407867431
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16091301,0.75,0.437227725982666
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16091401,0.6530612244897959,0.4680681228637695
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16092001,0.9523809523809524,0.5520350933074951
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16092101,0.5476190476190477,0.481661319732666
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16092201,0.5344827586206896,0.8258519172668457
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16092301,0.6101694915254237,1.1582744121551514
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16092501,0.9054054054054054,0.5806241035461426
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16092701,0.6388888888888888,0.4352514743804931
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16092801,1.0,0.4850642681121826
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16093001,0.7903225806451613,0.5377864837646484
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16093201,0.8780487804878049,0.4302105903625488
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16093301,1.0,0.4908921718597412
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16093501,0.9454545454545454,0.5405428409576416
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16093601,0.56,0.3797817230224609
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,16093801,0.9154929577464788,0.8762860298156738
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,170101,0.7317073170731707,0.4380815029144287
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,170103,0.7142857142857143,0.3884947299957275
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,170104,0.6507936507936508,0.7755558490753174
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,170108,1.0,0.3993582725524902
NIR_diff,IncrementalPCA,default,AgglomerativeClustering,170110,0.8253968253968254,0.5683512687683105
NIR_diff,IncrementalPCA,default,Birch,16090101,0.9411764705882352,2.102790355682373
NIR_diff,IncrementalPCA,default,Birch,16090401,1.0,5.106726169586182
NIR_diff,IncrementalPCA,default,Birch,16090601,1.0,3.042248010635376
