img,model,N_data,acc,time
170104,SpectralClustering,200.0,0.5714285714285714,14.343
170104,SpectralClustering,175.0,0.5714285714285714,15.736
170104,SpectralClustering,140.0,0.5714285714285714,14.128
170104,SpectralClustering,100.0,0.5714285714285714,14.946
170104,SpectralClustering,70.0,0.5714285714285714,13.629
170104,SpectralClustering,56.0,0.5714285714285714,15.026
170104,SpectralClustering,50.0,0.5714285714285714,13.958
170104,SpectralClustering,40.0,0.5714285714285714,15.225
170104,SpectralClustering,35.0,0.5714285714285714,15.002
170104,SpectralClustering,28.0,0.5714285714285714,14.257
170104,SpectralClustering,25.0,0.5714285714285714,13.945
170104,SpectralClustering,20.0,0.5714285714285714,15.914
170104,SpectralClustering,14.0,0.5714285714285714,14.816
170104,SpectralClustering,10.0,0.5714285714285714,15.228
170104,SpectralClustering,8.0,0.5714285714285714,14.452
170104,SpectralClustering,7.0,0.5714285714285714,14.508
170104,SpectralClustering,5.0,0.5555555555555556,11.806
170104,SpectralClustering,4.0,0.5714285714285714,16.084
170104,SpectralClustering,2.0,0.5396825396825397,14.837
170104,Birch,1400.0,0.6190476190476191,23.405
170104,Birch,700.0,0.6190476190476191,24.541
170104,Birch,350.0,0.6190476190476191,20.522
170104,Birch,280.0,0.6190476190476191,18.325
170104,Birch,200.0,0.6190476190476191,18.971
170104,Birch,175.0,0.6190476190476191,18.526
170104,Birch,140.0,0.6190476190476191,18.485
170104,Birch,100.0,0.6190476190476191,20.515
170104,Birch,70.0,0.6190476190476191,20.825
170104,Birch,56.0,0.6190476190476191,7.454
170104,Birch,50.0,0.6190476190476191,5.789
170104,Birch,40.0,0.6190476190476191,4.749
170104,Birch,35.0,0.6190476190476191,4.834
170104,Birch,28.0,0.6190476190476191,4.807
170104,Birch,25.0,0.6190476190476191,4.84
170104,Birch,20.0,0.6190476190476191,4.864
170104,Birch,14.0,0.6031746031746031,4.709
170104,Birch,10.0,0.6031746031746031,4.507
170104,Birch,8.0,0.5714285714285714,4.368
170104,Birch,7.0,0.6984126984126984,4.321
170104,Birch,5.0,0.6190476190476191,4.17
170104,Birch,4.0,0.6984126984126984,3.197
170104,Birch,2.0,0.7142857142857143,3.048
170104,AgglomerativeClustering,1400.0,0.6190476190476191,2.584
170104,AgglomerativeClustering,700.0,0.6190476190476191,1.351
170104,AgglomerativeClustering,350.0,0.6190476190476191,0.883
170104,AgglomerativeClustering,280.0,0.6190476190476191,0.784
170104,AgglomerativeClustering,200.0,0.6190476190476191,0.691
170104,AgglomerativeClustering,175.0,0.6190476190476191,0.663
170104,AgglomerativeClustering,140.0,0.6190476190476191,0.597
170104,AgglomerativeClustering,100.0,0.6190476190476191,0.54
170104,AgglomerativeClustering,70.0,0.6190476190476191,0.494
170104,AgglomerativeClustering,56.0,0.6190476190476191,0.47
170104,AgglomerativeClustering,50.0,0.6190476190476191,0.458
170104,AgglomerativeClustering,40.0,0.6190476190476191,0.448
170104,AgglomerativeClustering,35.0,0.6190476190476191,0.44
170104,AgglomerativeClustering,28.0,0.6190476190476191,0.436
170104,AgglomerativeClustering,25.0,0.6190476190476191,0.421
170104,AgglomerativeClustering,20.0,0.6190476190476191,0.411
170104,AgglomerativeClustering,14.0,0.6031746031746031,0.402
170104,AgglomerativeClustering,10.0,0.6031746031746031,0.397
170104,AgglomerativeClustering,8.0,0.6031746031746031,0.394
170104,AgglomerativeClustering,7.0,0.6984126984126984,0.392
170104,AgglomerativeClustering,5.0,0.6825396825396826,0.387
170104,AgglomerativeClustering,4.0,0.6984126984126984,0.388
170104,AgglomerativeClustering,2.0,0.7142857142857143,0.379
170108,MiniBatchKMeans,1400.0,1.0,136.115
170108,MiniBatchKMeans,700.0,1.0,136.562
170108,MiniBatchKMeans,350.0,1.0,7.462
170108,MiniBatchKMeans,280.0,1.0,6.217
170108,MiniBatchKMeans,200.0,1.0,8.313
170108,MiniBatchKMeans,175.0,1.0,9.169
170108,MiniBatchKMeans,140.0,1.0,6.166
170108,MiniBatchKMeans,100.0,1.0,5.946
170108,MiniBatchKMeans,70.0,1.0,8.933
170108,MiniBatchKMeans,56.0,1.0,7.849
170108,MiniBatchKMeans,50.0,1.0,11.437
170108,MiniBatchKMeans,40.0,1.0,7.973
170108,MiniBatchKMeans,35.0,1.0,5.206
170108,MiniBatchKMeans,28.0,1.0,6.614
170108,MiniBatchKMeans,25.0,1.0,11.186
170108,MiniBatchKMeans,20.0,1.0,6.739
170108,MiniBatchKMeans,14.0,1.0,5.128
170108,MiniBatchKMeans,10.0,1.0,6.565
170108,MiniBatchKMeans,8.0,1.0,7.935
170108,MiniBatchKMeans,7.0,1.0,7.366
170108,MiniBatchKMeans,5.0,1.0,7.357
170108,MiniBatchKMeans,4.0,1.0,5.157
170108,MiniBatchKMeans,2.0,1.0,7.315
170108,KMeans,1400.0,1.0,168.205
170108,KMeans,700.0,1.0,149.402
170108,KMeans,350.0,1.0,94.761
170108,KMeans,280.0,1.0,9.136
170108,KMeans,200.0,1.0,8.991
170108,KMeans,175.0,1.0,8.913
170108,KMeans,140.0,1.0,9.069
170108,KMeans,100.0,1.0,8.94
170108,KMeans,70.0,1.0,8.859
170108,KMeans,56.0,1.0,8.939
170108,KMeans,50.0,1.0,8.606
170108,KMeans,40.0,1.0,8.569
170108,KMeans,35.0,1.0,8.525
170108,KMeans,28.0,1.0,8.651
170108,KMeans,25.0,1.0,9.39
170108,KMeans,20.0,1.0,8.458
170108,KMeans,14.0,1.0,8.826
170108,KMeans,10.0,1.0,8.415
170108,KMeans,8.0,1.0,8.812
170108,KMeans,7.0,1.0,9.015
170108,KMeans,5.0,1.0,9.128
170108,KMeans,4.0,1.0,9.068
170108,KMeans,2.0,1.0,8.525
170108,SpectralClustering,1400.0,1.0,10.402
170108,SpectralClustering,700.0,1.0,10.618
170108,SpectralClustering,350.0,1.0,10.329
170108,SpectralClustering,280.0,1.0,10.463
170108,SpectralClustering,200.0,1.0,10.357
170108,SpectralClustering,175.0,1.0,10.66
170108,SpectralClustering,140.0,1.0,10.96
170108,SpectralClustering,100.0,1.0,10.747
170108,SpectralClustering,70.0,1.0,10.771
170108,SpectralClustering,56.0,1.0,10.777
170108,SpectralClustering,50.0,1.0,10.613
170108,SpectralClustering,40.0,1.0,10.62
170108,SpectralClustering,35.0,1.0,10.857
170108,SpectralClustering,28.0,1.0,10.684
170108,SpectralClustering,25.0,1.0,10.653
170108,SpectralClustering,20.0,1.0,10.74
170108,SpectralClustering,14.0,1.0,10.618
170108,SpectralClustering,10.0,1.0,10.579
170108,SpectralClustering,8.0,1.0,10.787
170108,SpectralClustering,7.0,1.0,10.55
170108,SpectralClustering,5.0,1.0,10.725
170108,SpectralClustering,4.0,1.0,11.204
170108,SpectralClustering,2.0,0.8421052631578947,10.732
170108,Birch,1400.0,1.0,21.099
170108,Birch,700.0,1.0,21.938
170108,Birch,350.0,1.0,23.812
170108,Birch,280.0,1.0,18.605
170108,Birch,200.0,1.0,20.769
170108,Birch,175.0,1.0,15.26
170108,Birch,140.0,1.0,1.925
170108,Birch,100.0,1.0,1.843
170108,Birch,70.0,1.0,1.797
170108,Birch,56.0,1.0,1.812
170108,Birch,50.0,1.0,1.776
170108,Birch,40.0,1.0,1.776
170108,Birch,35.0,1.0,1.766
170108,Birch,28.0,1.0,1.765
170108,Birch,25.0,1.0,1.781
170108,Birch,20.0,1.0,1.751
170108,Birch,14.0,1.0,1.95
170108,Birch,10.0,1.0,1.733
170108,Birch,8.0,1.0,1.697
170108,Birch,7.0,1.0,1.705
170108,Birch,5.0,1.0,1.725
170108,Birch,4.0,1.0,1.71
170108,Birch,2.0,1.0,1.678
170108,AgglomerativeClustering,1400.0,1.0,0.642
170108,AgglomerativeClustering,700.0,1.0,0.367
170108,AgglomerativeClustering,350.0,1.0,0.314
170108,AgglomerativeClustering,280.0,1.0,0.305
170108,AgglomerativeClustering,200.0,1.0,0.292
170108,AgglomerativeClustering,175.0,1.0,0.324
170108,AgglomerativeClustering,140.0,1.0,0.282
170108,AgglomerativeClustering,100.0,1.0,0.275
170108,AgglomerativeClustering,70.0,1.0,0.268
170108,AgglomerativeClustering,56.0,1.0,0.265
170108,AgglomerativeClustering,50.0,1.0,0.3
170108,AgglomerativeClustering,40.0,1.0,0.262
170108,AgglomerativeClustering,35.0,1.0,0.26
170108,AgglomerativeClustering,28.0,1.0,0.258
170108,AgglomerativeClustering,25.0,1.0,0.259
170108,AgglomerativeClustering,20.0,1.0,0.258
170108,AgglomerativeClustering,14.0,1.0,0.255
170108,AgglomerativeClustering,10.0,1.0,0.256
170108,AgglomerativeClustering,8.0,1.0,0.255
170108,AgglomerativeClustering,7.0,1.0,0.256
170108,AgglomerativeClustering,5.0,1.0,0.253
170108,AgglomerativeClustering,4.0,1.0,0.251
170108,AgglomerativeClustering,2.0,1.0,0.252
16090101,MiniBatchKMeans,1400.0,0.8529411764705882,130.27
16090101,MiniBatchKMeans,700.0,0.8529411764705882,146.891
16090101,MiniBatchKMeans,350.0,0.8529411764705882,138.532
16090101,MiniBatchKMeans,280.0,0.8529411764705882,147.832
16090101,MiniBatchKMeans,200.0,0.8529411764705882,9.487
16090101,MiniBatchKMeans,175.0,0.8529411764705882,6.172
16090101,MiniBatchKMeans,140.0,0.8529411764705882,6.826
16090101,MiniBatchKMeans,100.0,0.8529411764705882,6.799
16090101,MiniBatchKMeans,70.0,0.8529411764705882,7.102
16090101,MiniBatchKMeans,56.0,0.8529411764705882,8.701
16090101,MiniBatchKMeans,50.0,0.8529411764705882,5.614
16090101,MiniBatchKMeans,40.0,0.8529411764705882,8.157
16090101,MiniBatchKMeans,35.0,0.8529411764705882,8.159
16090101,MiniBatchKMeans,28.0,0.8529411764705882,7.429
16090101,MiniBatchKMeans,25.0,0.8529411764705882,6.491
16090101,MiniBatchKMeans,20.0,0.8529411764705882,7.586
16090101,MiniBatchKMeans,14.0,0.8529411764705882,6.664
16090101,MiniBatchKMeans,10.0,0.8529411764705882,5.952
16090101,MiniBatchKMeans,8.0,0.8529411764705882,7.766
16090101,MiniBatchKMeans,7.0,0.8529411764705882,5.723
16090101,MiniBatchKMeans,5.0,0.8529411764705882,7.081
16090101,MiniBatchKMeans,4.0,0.8529411764705882,6.638
16090101,MiniBatchKMeans,2.0,0.8529411764705882,12.0
16090101,KMeans,1400.0,0.8529411764705882,152.522
16090101,KMeans,700.0,0.8529411764705882,145.083
16090101,KMeans,350.0,0.8529411764705882,166.761
16090101,KMeans,280.0,0.8529411764705882,93.899
16090101,KMeans,200.0,0.8529411764705882,88.516
16090101,KMeans,175.0,0.8529411764705882,11.805
16090101,KMeans,140.0,0.8529411764705882,10.007
16090101,KMeans,100.0,0.8529411764705882,9.748
16090101,KMeans,70.0,0.8529411764705882,9.641
16090101,KMeans,56.0,0.8529411764705882,56.581
16090101,KMeans,50.0,0.8529411764705882,9.592
16090101,KMeans,40.0,0.8529411764705882,9.405
16090101,KMeans,35.0,0.8529411764705882,9.326
16090101,KMeans,28.0,0.8529411764705882,9.171
16090101,KMeans,25.0,0.8529411764705882,9.419
16090101,KMeans,20.0,0.8529411764705882,9.088
16090101,KMeans,14.0,0.8529411764705882,9.077
